"tax_id","species_id","kingdom","phylum","class","order","family","genus","species","identification_reference"
"AHCYFBASCCX",6324,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Chlorocytus","Chlorocytus pilosus","Graham, 1965"
"AHCYFBASCZP",6325,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Chlorocytus","Chlorocytus planus","Walker, 1834"
"AHCYFBASEAH",6326,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Chlorocytus","Chlorocytus polichna","Walker, 1848"
"AHCYFBASEWO",6327,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Chlorocytus","Chlorocytus spicatus","Walker, 1835"
"AHCYFBASFSV",6328,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Chlorocytus","Chlorocytus ultonicus","Graham, 1965"
"AHCYFBLVOBH",6329,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Chloromyia","Chloromyia formosa","Scopoli, 1763"
"AHCYFCCBPER",6330,"Animalia","Arthropoda","Insecta","Plecoptera","Chloroperlidae","Chloroperla","Chloroperla tripunctata","Scopoli, 1763"
"AHCYFBTCNGJ",6331,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Chlorophanus","Chlorophanus viridis","Linnaeus, 1758"
"7A5C79C49EF",6332,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Chlorophorus","Chlorophorus annularis","Fabricius, 1787"
"ZXOUUSR6RZB",6333,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Chlorophorus","Chlorophorus diadema","Motschulsky, 1854"
"25519",6334,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Chlorophorus","Chlorophorus varius","Müller, 1766"
"AHCYFBFFEOW",6335,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops adjunctus","Becker, 1910"
"AHCYFBFFGLV",6336,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops calceatus","Meigen, 1830"
"AHCYFBFFJFN",6337,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops fasciatus","Meigen, 1830"
"AHCYFBFFKGF",6338,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops frontosus","Meigen, 1830"
"AHCYFBFFLCM",6339,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops geminatus","Meigen, 1830"
"AHCYFBFFMDE",6340,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops gracilis","Meigen, 1830"
"AHCYFBFFNDX",6341,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops hypostigma","Meigen, 1830"
"A5XA7WK8L7O",6342,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops kirigaminensis","Kanmiya, 1978"
"AHCYFBFFOEP",6343,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops laetus","Meigen, 1830"
"AHCYFBFFPFI",6344,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops limbatus","Meigen, 1830"
"AHCYFBFFRGT",6345,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops meigenii","Loew, 1866"
"AHCYFBFFSHL",6346,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops novakii","Strobl, 1902"
"AHCYFBFFTDS",6347,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops obscurellus","Zetterstedt, 1838"
"AHCYFBFFUEK",6348,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops planifrons","Loew, 1866"
"AHCYFBFFVFO",6349,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops pumilionis","Bjerkander, 1778"
"AHCYFBFFWGH",6350,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops ringens","Loew, 1866"
"AHCYFBFFXGZ",6351,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops rossicus","Smirnov, 1955"
"AHCYFBFFYHS",6352,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops rufinus","Zetterstedt, 1848"
"AHCYFBFFZIK",6353,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops scalaris","Meigen, 1830"
"AHCYFBFGBFJ",6354,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops serenus","Loew, 1866"
"AHCYFBFGCGC",6355,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops speciosus","Meigen, 1830"
"AHCYFBFGDGU",6356,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops strigulus","Fabricius, 1794"
"AHCYFBFGFDT",6357,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops triangularis","Becker, 1910"
"AHCYFBFGGEM",6358,"Animalia","Arthropoda","Insecta","Diptera","Chloropidae","Chlorops","Chlorops troglodytes","Zetterstedt, 1848"
"AHCYSI02010",6359,"Animalia","Nematoda","Adenophorea","Chromadorida","Choanolaimidae","Choanolaimus","Choanolaimus psammophilus","De Man, 1880"
"D5BC867416F",6360,"Animalia","Platyhelminthes","Cestoda","Cyclophyllidea","Dilepididae","Choanotaenia","Choanotaenia infundibulum","Bloch, 1779"
"AHCYFBCPGJK",6361,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Choerades","Choerades fulvus","Meigen, 1804"
"AHCYFBCPHKC",6362,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Choerades","Choerades gilvus","Linnaeus, 1758"
"23M4TB1PYZU",6363,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Choerades","Choerades igneus","Meigen, 1820"
"AHCYFBCPMAH",6364,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Choerades","Choerades marginatus","Linnaeus, 1758"
"AHCYFARHXYV",6365,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras adjunctus","Nees, 1834"
"AHCYFARIBBK",6366,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras arene","Nixon, 1973"
"AHCYFARIRNE",6367,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras dorsalis","Spinola, 1808"
"AHCYFARIVQA",6368,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras gielisi","Van Achterberg, 2002"
"AHCYFARJPEK",6369,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras parasitellae","Bouché, 1834"
"AHCYFARJUHY",6370,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras ruficornis","Nees, 1834"
"AHCYFARJZLY",6371,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras tedellae","Nixon, 1961"
"AHCYFARKBNI",6372,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Choeras","Choeras validus","Thomson, 1895"
"AHCYFBRVGXZ",6373,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva agilis","Illiger, 1798"
"AHCYFBRVHUF",6374,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva angustata","Fabricius, 1781"
"AHCYFBRVIUY",6375,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva bicolor","Jeannel, 1923"
"AHCYFBRVJRE",6376,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva cisteloides","Frölich, 1799"
"AHCYFBRVKRX",6377,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva elongata","Paykull, 1798"
"AHCYFBRVLOE",6378,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva fagniezi","Jeannel, 1922"
"AHCYFBRVMKK",6379,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva glauca","Britten, 1918"
"AHCYFBRVNLD",6380,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva jeanneli","Britten, 1922"
"8F8AA304CC5",6381,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva nivalis","Kraatz, 1856"
"AHCYFBRVOLV",6382,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva oblonga","Latreille, 1807"
"AHCYFBRVPIC",6383,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva paskoviensis","Reitter, 1913"
"AHCYFBRVQIU",6384,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva reitteri","Petri, 1915"
"AHCYFBRVRFB",6385,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva spadicea","Sturm, 1839"
"26928F3416E",6386,"Animalia","Arthropoda","Insecta","Coleoptera","Leiodidae","Choleva","Choleva sturmii","Brisout, 1863"
"AHCYSI00753",6387,"Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","Cholodkovskya","Cholodkovskya viridana","Cholodkovsky, 1896"
"F171AAD4233",6388,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Cholus","Cholus forbesii","Pascoe, 1876"
"MXM6D4EVCLA",6389,"Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Chondracanthidae","Chondracanthus","Chondracanthus lophii","Johnston, 1836"
"FHT1NYXZTEZ",6390,"Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Chondracanthidae","Chondracanthus","Chondracanthus merluccii","Holten, 1802"
"RWHIA2F3CVD",6391,"Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Chondracanthidae","Chondracanthus","Chondracanthus nodosus","Müller, 1776"
"XHXSBT1YAHM",6392,"Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Chondracanthidae","Chondracanthus","Chondracanthus zei","Delaroche, 1811"
"455864163",6393,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Chondrostoma","Chondrostoma nasus","Linnaeus, 1758"
"A6KNIZ1DUXC",6394,"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Chone","Chone duneri","Malmgren, 1867"
"5GITFDW3QBO",6395,"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Chone","Chone fauveli","McIntosh, 1916"
"JGPBA2XS5IW",6396,"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Chone","Chone infundibuliformis","Krøyer, 1856"
"AHCYFAODKZP",6397,"Animalia","Arthropoda","Diplopoda","Julida","Blaniulidae","Choneiulus","Choneiulus palmatus","Némec, 1895"
"AHCYFBWCQOF",6398,"Animalia","Arthropoda","Insecta","Coleoptera","Attelabidae","Chonostropheus","Chonostropheus tristis","Fabricius, 1794"
"AHCYFBQIUQD",6399,"Animalia","Arthropoda","Insecta","Coleoptera","Anthribidae","Choragus","Choragus sheppardi","Kirby, 1819"
"AHCYFAOEBHJ",6400,"Animalia","Arthropoda","Diplopoda","Chordeumatida","Chordeumatidae","Chordeuma","Chordeuma sylvestre","Koch, 1847"
"XF0QZVH53RF",6401,"Animalia","Nematoda","Secernentea","Spirurida","Acuariidae","Chordocephalus","Chordocephalus squamata","von Linstow, 1883"
"AHCYFARTVPX",6402,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus albipes","Haliday, 1839"
"AHCYFARTWQQ",6403,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus alua","Nixon, 1944"
"AHCYFARTXRI",6404,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus bathyzonus","Marshall, 1895"
"AHCYFARTYSM",6405,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus cinctus","Haliday, 1839"
"AHCYFARTZTF",6406,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus coxator","Thomson, 1895"
"AHCYFARUATX",6407,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus crenulatus","Thomson, 1895"
"AHCYFARUBUQ",6408,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus cylindricus","Telenga, 1934"
"AHCYFARUCVI",6409,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus cytherea","Nixon, 1937"
"AHCYFARUDWA",6410,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus daimenes","Nixon, 1945"
"AHCYFARUFTA",6411,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus dentiferus","Thomson, 1895"
"AHCYFARUGTS",6412,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus diremtus","Nees, 1834"
"AHCYFARUHUK",6413,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus fallax","Nixon, 1937"
"AHCYFARUIVD",6414,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus foveolus","Haliday, 1839"
"AHCYFARUJWH",6415,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus fuscipennis","Nixon, 1937"
"AHCYFARUKWZ",6416,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus gedanensis","Ratzeburg, 1852"
"AHCYFARULXS",6417,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus glaber","Nixon, 1944"
"AHCYFARUMYK",6418,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus gracilipes","Thomson, 1895"
"AHCYFARUNZD",6419,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus hilaris","Griffiths, 1967"
"AHCYFARUOZV",6420,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus limnicola","Nees, 1812"
"AHCYFARUQAO",6421,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus longicornis","Nees, 1811"
"AHCYFARURBG",6422,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus navicularis","Nees, 1812"
"AHCYFARUSBY",6423,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus nomia","Nixon, 1937"
"AHCYFARUTCR",6424,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus ovalis","Marshall, 1896"
"AHCYFARUUDJ",6425,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus parvungula","Thomson, 1895"
"AHCYFARUVEC",6426,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus petiolatus","Nees, 1834"
"AHCYFARUWFG",6427,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus posticus","Haliday, 1839"
"AHCYFARUXFY",6428,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus pulverosus","Haliday, 1839"
"AHCYFARUYGR",6429,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus resa","Nixon, 1937"
"AHCYFARUZHJ",6430,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus risilis","Nixon, 1949"
"AHCYFARVAIC",6431,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus rostratae","Griffiths, 1984"
"AHCYFARVBIU",6432,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus senilis","Nees, 1812"
"AHCYFARVCJN",6433,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus siniffa","Nixon, 1937"
"AHCYFARVDTC",6434,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus spenceri","Griffiths, 1964"
"AHCYFARVETV",6435,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus stenocera","Thomson, 1895"
"AHCYFARVFUN",6436,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus sylvestris","Griffiths, 1967"
"AHCYFARVGVG",6437,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus thusa","Nixon, 1937"
"AHCYFARVHWK",6438,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus uliginosus","Haliday, 1839"
"AHCYFARVIXC",6439,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chorebus","Chorebus uma","Nixon, 1944"
"AHCYFAZOYPV",6440,"Animalia","Arthropoda","Insecta","Hymenoptera","Encyrtidae","Choreia","Choreia inepta","Dalman, 1820"
"AHCYSI01759",6441,"Animalia","Arthropoda","Entognatha","Collembola","Hypogastruridae","Choreutinula","Choreutinula inermis","Tullberg, 1871"
"WCJLRS8U2U2",6442,"Animalia","Arthropoda","Insecta","Lepidoptera","Choreutidae","Choreutis","Choreutis nemorana","Hübner, 1799"
"AHCYFCHXKSX",6443,"Animalia","Arthropoda","Insecta","Lepidoptera","Choreutidae","Choreutis","Choreutis pariana","Clerck, 1759"
"AHCYFATSLBT",6444,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Chorinaeus","Chorinaeus cristator","Gravenhorst, 1829"
"AHCYFATSMCL",6445,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Chorinaeus","Chorinaeus funebris","Gravenhorst, 1829"
"AHCYFATSNDE",6446,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Chorinaeus","Chorinaeus subcarinatus","Holmgren, 1858"
"N8E3CKE00AW",6447,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Psoroptidae","Chorioptes","Chorioptes bovis","Hering, 1845"
"AHCYFBLVPTV",6448,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Chorisops","Chorisops nagatomii","Rozkošný, 1979"
"AHCYFBLVQUN",6449,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Chorisops","Chorisops tibialis","Meigen, 1820"
"AHCYFCNCJZZ",6450,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","Choristoneura diversana","Hübner, 1817"
"AHCYFCNCLAS",6451,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","Choristoneura hebenstreitella","Müller, 1764"
"AHCYFCNCMBW",6452,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","Choristoneura lafauryana","Ragonot, 1875"
"AHCYFCNCNCO",6453,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","Choristoneura murinana","Hübner, 1799"
"58VGNUPFVJM",6454,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","Choristoneura occidentalis","Walsingham, 1891"
"AHCYSICZQYH",6455,"Animalia","Arthropoda","Insecta","Hemiptera","Rhopalidae","Chorosoma","Chorosoma schillingii","Schilling, 1829"
"457169212",6456,"Animalia","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Choroterpes","Choroterpes picteti","Eaton, 1871"
"464553480",6457,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus albomarginatus","De Geer, 1773"
"464553487",6458,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus apricarius","Linnaeus, 1758"
"464553494",6459,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus biguttulus","Linnaeus, 1758"
"AHCYFCBUJTZ",6460,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus binotatus","Charpentier, 1825"
"464553501",6461,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus brunneus","Thunberg, 1815"
"464553508",6462,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus dorsatus","Zetterstedt, 1821"
"464553515",6463,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus mollis","Charpentier, 1825"
"464553536",6464,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus vagans","Eversmann, 1848"
"AKULPJZ4AFR",6465,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Chortoglyphidae","Chortoglyphus","Chortoglyphus arcuatus","Troupeau, 1879"
"AHCYFARVKPQ",6466,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Chremylus","Chremylus elaphus","Haliday, 1833"
"EC36402453C",6467,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","Brème, 1839"
"464943780",6468,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus philadelphia","Ord, 1815"
"464943794",6469,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus ridibundus","Linnaeus, 1766"
"AHCYSI02012",6470,"Animalia","Nematoda","Adenophorea","Chromadorida","Chromadoridae","Chromadorina","Chromadorina bioculata","Schultze, 1857"
"AHCYSI02011",6471,"Animalia","Nematoda","Adenophorea","Chromadorida","Chromadoridae","Chromadorina","Chromadorina germanica","Bütschli, 1874"
"AHCYSI02018",6472,"Animalia","Nematoda","Adenophorea","Chromadorida","Hypodontolaimidae","Chromadorita","Chromadorita leuckarti","De Man, 1876"
"PVFHPAVW7CZ",6473,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia aprilina","Goureau, 1851"
"AHCYFBBXRGE",6474,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia asteris","Hendel, 1934"
"AHCYFBBXSHI",6475,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia fuscula","Zetterstedt, 1838"
"AHCYFBBXTIA",6476,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia gentianae","Hendel, 1920"
"AHCYFBBYARL",6477,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia horticola","Goureau, 1851"
"AHCYFBBYCSW",6478,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia lonicerae","Robineau-Desvoidy, 1851"
"AHCYFBBYDTO",6479,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia milii","Kaltenbach, 1864"
"AHCYFBBYEUS",6480,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia nigra","Meigen, 1830"
"AHCYFBBYFVL",6481,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia periclymeni","De Meijere, 1924"
"AHCYFBBYGWD",6482,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia primulae","Robineau-Desvoidy, 1851"
"AHCYFBBYHWW",6483,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia ramosa","Hendel, 1923"
"E9QK3EX4M",6484,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia scolopendri","Robineau-Desvoidy, 1851"
"AHCYFBBYIXO",6485,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia succisae","Hering, 1922"
"AHCYFBBYJYH",6486,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Chromatomyia","Chromatomyia syngenesiae","Hardy, 1849"
"AHCYSI02247",6487,"Animalia","Nematoda","Adenophorea","Plectida","Chronogastridae","Chronogaster","Chronogaster boettgeri","Kischke, 1956"
"AHCYSI02246",6488,"Animalia","Nematoda","Adenophorea","Plectida","Chronogastridae","Chronogaster","Chronogaster tenuis","Loof & Jairajpuri, 1965"
"AHCYSI02248",6489,"Animalia","Nematoda","Adenophorea","Plectida","Chronogastridae","Chronogaster","Chronogaster typica","De Man, 1921"
"YYIZI3LWTW5",6490,"Animalia","Mollusca","Gastropoda","[unassigned] Heterobranchia","Pyramidellidae","Chrysallida","Chrysallida fenestrata","Adams, 1860"
"4TIUE4RHODD",6491,"Animalia","Mollusca","Gastropoda","[unassigned] Heterobranchia","Pyramidellidae","Chrysallida","Chrysallida sarsi","Nordsieck, 1972"
"AHCYFBVSOFN",6492,"Animalia","Arthropoda","Insecta","Coleoptera","Oedemeridae","Chrysanthia","Chrysanthia geniculata","Schmidt, 1846"
"AHCYSI11450",6493,"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora hysoscella","Linnaeus, 1767"
"AHCYFCQGTFH",6494,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis analis","Spinola, 1808"
"AHCYFCQGUFZ",6495,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis angustula","Schenck, 1856"
"AHCYFCQGVGS",6496,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis bicolor","Lepeletier, 1806"
"AHCYFCQGWZF",6497,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis brevitarsis","Thomson, 1870"
"HP4IN2EZRFG",6498,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis clarinicollis","Linsenmaier, 1951"
"AHCYFCQGXVY",6499,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis comparata","Lepeletier, 1806"
"AHCYFCQGYSE",6500,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis corusca","Valkeila, 1971"
"60TNI2CY249",6501,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis equestris","Dahlbom, 1854"
"AHCYFCQGZOL",6502,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis fasciata","Olivier, 1790"
"AHCYFCQHAKS",6503,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis fulgida","Linnaeus, 1761"
"AHCYFCQHBGY",6504,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis gracillima","Förster, 1853"
"AHCYFCQHDDY",6505,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis ignita","Linnaeus, 1758"
"AHCYFCQGWCZ",6506,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis illigeri","Wesmael, 1839"
"AHCYFCQHOQQ",6507,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis immaculata","du Buysson, 1898"
"AHCYFCQHIQJ",6508,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis impressa","Schenck, 1856"
"AHCYFCQHPRI",6509,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis inaequalis","Dahlbom, 1845"
"AHCYFCQHRFK",6510,"Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysis","Chrysis indigotea","Dufour & Perris, 1840"
